"ID_department";"department_name";"department_categories";"ID_province";"id_user_create";"id_user_update";"date_create";"date_update"
1;"25 de mayo";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
2;"9 de julio";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
3;"Adolfo Alsina";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
4;"Adolfo Gonzales Chaves";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
5;"Alberti";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
6;"Almirante Brown";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
7;"Arrecifes";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
8;"Avellaneda";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
9;"Ayacucho";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
10;"Azul";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
11;"Bahía Blanca";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
12;"Balcarce";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
13;"Baradero";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
14;"Benito Juárez";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
15;"Berazategui";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
16;"Berisso";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
17;"Bolívar";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
18;"Bragado";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
19;"Brandsen";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
20;"Campana";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
21;"Cañuelas";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
22;"Capitán Sarmiento";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
23;"Carlos Casares";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
24;"Carlos Tejedor";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
25;"Carmen de Areco";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
26;"Castelli";"Partido";1;13;13;"2025-05-29 00:00:00";"2025-05-29 00:00:00"
